StartNode,EndNodeID,ContactWay
0,1,groupmessage
6240,85,groupmessage
431,112,groupmessage
77,218,groupmessage
77,273,groupmessage
7724,315,groupmessage
3330,376,groupmessage
0,381,groupmessage
77,396,groupmessage
6240,431,groupmessage
7724,770,groupmessage
112,776,groupmessage
15646,1796,groupmessage
6715,1837,groupmessage
1844,1845,groupmessage
112,2690,groupmessage
1844,4527,groupmessage
586,4688,groupmessage
1332,5299,groupmessage
1844,5390,groupmessage
1332,6149,groupmessage
3339,6571,groupmessage
547,6802,groupmessage
6824,6975,groupmessage
77,7099,groupmessage
77,7724,groupmessage
6715,8109,groupmessage
6715,9167,groupmessage
6715,10774,groupmessage
1332,11011,groupmessage
8151,11188,groupmessage
1844,12960,groupmessage
6715,14414,groupmessage
6715,14596,groupmessage
15317,15318,groupmessage
77,15487,groupmessage
6634,15523,groupmessage
15523,15524,groupmessage
15525,15526,groupmessage
77,15646,groupmessage
16128,16129,groupmessage
0,16562,groupmessage
235,16609,groupmessage
112,16976,groupmessage
1332,17204,groupmessage
21362,17433,groupmessage
1844,18591,groupmessage
7724,18978,groupmessage
21362,19359,groupmessage
19359,19360,groupmessage
3330,19817,groupmessage
1844,19963,groupmessage
77,20277,groupmessage
235,20593,groupmessage
2676,20843,groupmessage
1332,20916,groupmessage
14923,21076,groupmessage
234,21120,groupmessage
2247,21186,groupmessage
1744,21259,groupmessage
1332,21291,groupmessage
1332,21313,groupmessage
112,21319,groupmessage
0,21325,groupmessage
112,21327,groupmessage
20916,21329,groupmessage
3339,21335,groupmessage
0,21338,groupmessage
1332,21340,groupmessage
77,21344,groupmessage
2612,21346,groupmessage
2676,21352,groupmessage
6634,21354,groupmessage
15525,21359,groupmessage
6715,21360,groupmessage
1332,21364,groupmessage
112,21370,groupmessage
235,21371,groupmessage
15525,21374,groupmessage
112,21378,groupmessage
112,21382,groupmessage
381,21383,groupmessage
381,21384,groupmessage
15525,21385,groupmessage
15525,21387,groupmessage
77,21388,groupmessage
381,21393,groupmessage
21362,21394,groupmessage
6715,21395,groupmessage
112,21403,groupmessage
20916,21406,groupmessage
112,21409,groupmessage
2247,21410,groupmessage
2247,21411,groupmessage
112,21420,groupmessage
284,21423,groupmessage
284,21426,groupmessage
77,21428,groupmessage
2247,21429,groupmessage
17352,21436,groupmessage
77,21437,groupmessage
6715,21438,groupmessage
77,21440,groupmessage
381,21447,groupmessage
77,21449,groupmessage
1744,21451,groupmessage
7724,21465,groupmessage
6715,21470,groupmessage
21470,21471,groupmessage
6715,21477,groupmessage
6715,21480,groupmessage
6715,21481,groupmessage
15646,21485,groupmessage
77,21489,groupmessage
18380,21490,groupmessage
7724,21491,groupmessage
1844,21493,groupmessage
7724,21497,groupmessage
15646,21498,groupmessage
7724,21499,groupmessage
7724,21503,groupmessage
2676,21504,groupmessage
